Compound,hrs,yeast,rel_abundance
2-methyl-furan ,27.6651914,po2,0
2-methyl-furan ,27.6651914,po2,0
2-methyl-furan ,27.6651914,po2,0
2-methyl-furan ,36.00187151,bel,0
2-methyl-furan ,36.00187151,bel,0
2-methyl-furan ,36.00187151,bel,0
2-methyl-furan ,36.00187151,cal,0
2-methyl-furan ,36.00187151,cal,0
2-methyl-furan ,36.00187151,cal,0
2-methyl-furan ,36.00187151,eng,0
2-methyl-furan ,36.00187151,eng,0
2-methyl-furan ,36.00187151,eng,0
2-methyl-furan ,36.00187151,sak,0
2-methyl-furan ,36.00187151,sak,0
2-methyl-furan ,36.00187151,sak,0
2-methyl-furan ,36.00187151,pil,0
2-methyl-furan ,36.00187151,pil,0
2-methyl-furan ,36.00187151,pil,0
2-methyl-furan ,58.89200964,bel,0
2-methyl-furan ,58.89200964,bel,0
2-methyl-furan ,58.89200964,bel,0
2-methyl-furan ,58.89200964,cal,0
2-methyl-furan ,58.89200964,cal,0
2-methyl-furan ,58.89200964,cal,0
2-methyl-furan ,58.89200964,eng,0
2-methyl-furan ,58.89200964,eng,0
2-methyl-furan ,58.89200964,eng,0
2-methyl-furan ,58.89200964,sak,0
2-methyl-furan ,58.89200964,sak,0
2-methyl-furan ,58.89200964,sak,0
2-methyl-furan ,58.89200964,pil,0
2-methyl-furan ,58.89200964,pil,0
2-methyl-furan ,58.89200964,pil,0
2-methyl-furan ,95.00950852,bel,0
2-methyl-furan ,95.00950852,bel,0
2-methyl-furan ,95.00950852,bel,0
2-methyl-furan ,95.00950852,cal,0
2-methyl-furan ,95.00950852,cal,0
2-methyl-furan ,95.00950852,cal,0
2-methyl-furan ,95.00950852,eng,0
2-methyl-furan ,95.00950852,eng,0
2-methyl-furan ,95.00950852,eng,0
2-methyl-furan ,95.00950852,sak,0
2-methyl-furan ,95.00950852,sak,0
2-methyl-furan ,95.00950852,sak,0
2-methyl-furan ,95.00950852,pil,0
2-methyl-furan ,95.00950852,pil,0
2-methyl-furan ,95.00950852,pil,0
2-methyl-furan ,143.0127537,pil,0
2-methyl-furan ,143.0127537,bel,0
2-methyl-furan ,143.0127537,cal,0
2-methyl-furan ,143.0127537,cal,0
2-methyl-furan ,143.0127537,cal,0
2-methyl-furan ,143.0127537,eng,0
2-methyl-furan ,143.0127537,eng,0
2-methyl-furan ,143.0127537,eng,0
2-methyl-furan ,143.0127537,sak,0
2-methyl-furan ,143.0127537,sak,0
2-methyl-furan ,143.0127537,sak,0
2-methyl-furan ,143.0127537,pil,0
2-methyl-furan ,143.0127537,pil,0
