"Compound","hrs","yeast","rel_abundance"
"2-methyl-furan ","0.25","po2","0"
"2-methyl-furan ","0.25","po2","0"
"2-methyl-furan ","0.25","po2","0"
"2-methyl-furan ","0.5","po2","0"
"2-methyl-furan ","0.5","po2","0"
"2-methyl-furan ","0.5","po2","0"
"2-methyl-furan ","0.75","po2","0.0253"
"2-methyl-furan ","0.75","po2","0.0321"
"2-methyl-furan ","0.75","po2","0.0257"
"2-methyl-furan ","1","po2","0.0049"
"2-methyl-furan ","1","po2","0.0084"
"2-methyl-furan ","1","po2","0.0134"
"2-methyl-furan ","1.87","po2","0.0118"
"2-methyl-furan ","1.87","po2","0.0124"
"2-methyl-furan ","1.87","po2","0.014"
"2-methyl-furan ","2.58","po2","0"
"2-methyl-furan ","2.58","po2","0"
"2-methyl-furan ","2.58","po2","0.0013"
"2-methyl-furan ","2.67","po2","0"
"2-methyl-furan ","2.67","po2","0"
"2-methyl-furan ","2.67","po2","0"
"2-methyl-furan ","3.05","po2","0"
"2-methyl-furan ","3.05","po2","0"
"2-methyl-furan ","3.05","po2","0"
"2-methyl-furan ","3.4","po2","0"
"2-methyl-furan ","3.4","po2","0"
"2-methyl-furan ","3.4","po2","0"
"2-methyl-furan ","3.48","po2","0"
"2-methyl-furan ","3.48","po2","0"
"2-methyl-furan ","3.48","po2","0"
"2-methyl-furan ","4.9","po2","0"
"2-methyl-furan ","4.9","po2","0"
"2-methyl-furan ","4.9","po2","0"
"2-methyl-furan ","27.73","bel","0"
"2-methyl-furan ","27.73","bel","0"
"2-methyl-furan ","27.73","bel","0"
"2-methyl-furan ","27.73","cal","0"
"2-methyl-furan ","27.73","cal","0"
"2-methyl-furan ","27.73","cal","0"
"2-methyl-furan ","27.73","eng","0"
"2-methyl-furan ","27.73","eng","0"
"2-methyl-furan ","27.73","eng","0"
"2-methyl-furan ","27.73","sak","0"
"2-methyl-furan ","27.73","sak","0"
"2-methyl-furan ","27.73","sak","0"
"2-methyl-furan ","36","bel","0"
"2-methyl-furan ","36","bel","0"
"2-methyl-furan ","36","bel","0"
"2-methyl-furan ","36","cal","0"
"2-methyl-furan ","36","cal","0"
"2-methyl-furan ","36","cal","0"
"2-methyl-furan ","36","eng","0"
"2-methyl-furan ","36","eng","0"
"2-methyl-furan ","36","eng","0"
"2-methyl-furan ","36","sak","0"
"2-methyl-furan ","36","sak","0"
"2-methyl-furan ","36","sak","0"
"2-methyl-furan ","36","pil","0"
"2-methyl-furan ","36","pil","0"
"2-methyl-furan ","36","pil","0"
"2-methyl-furan ","59","bel","0"
"2-methyl-furan ","59","bel","0"
"2-methyl-furan ","59","bel","0"
"2-methyl-furan ","59","cal","0"
"2-methyl-furan ","59","cal","0"
"2-methyl-furan ","59","cal","0"
"2-methyl-furan ","59","eng","0"
"2-methyl-furan ","59","eng","0"
"2-methyl-furan ","59","eng","0"
"2-methyl-furan ","59","sak","0"
"2-methyl-furan ","59","sak","0"
"2-methyl-furan ","59","sak","0"
"2-methyl-furan ","59","pil","0"
"2-methyl-furan ","59","pil","0"
"2-methyl-furan ","59","pil","0"
"2-methyl-furan ","95","bel","0"
"2-methyl-furan ","95","bel","0"
"2-methyl-furan ","95","bel","0"
"2-methyl-furan ","95","cal","0"
"2-methyl-furan ","95","cal","0"
"2-methyl-furan ","95","cal","0"
"2-methyl-furan ","95","eng","0"
"2-methyl-furan ","95","eng","0"
"2-methyl-furan ","95","eng","0"
"2-methyl-furan ","95","sak","0"
"2-methyl-furan ","95","sak","0"
"2-methyl-furan ","95","sak","0"
"2-methyl-furan ","95","pil","0"
"2-methyl-furan ","95","pil","0"
"2-methyl-furan ","95","pil","0"
"2-methyl-furan ","143","pil","0"
"2-methyl-furan ","143","bel","0"
"2-methyl-furan ","143","cal","0"
"2-methyl-furan ","143","cal","0"
"2-methyl-furan ","143","cal","0"
"2-methyl-furan ","143","eng","0"
"2-methyl-furan ","143","eng","0"
"2-methyl-furan ","143","eng","0"
"2-methyl-furan ","143","sak","0"
"2-methyl-furan ","143","sak","0"
"2-methyl-furan ","143","sak","0"
"2-methyl-furan ","143","pil","0"
"2-methyl-furan ","143","pil","0"
"2-methyl-furan ","191","bel","0"
"2-methyl-furan ","191","bel","0"
"2-methyl-furan ","191","cal","0"
"2-methyl-furan ","191","cal","0"
"2-methyl-furan ","191","cal","0"
"2-methyl-furan ","191","eng","0"
"2-methyl-furan ","191","eng","0"
"2-methyl-furan ","191","eng","0"
"2-methyl-furan ","191","sak","0"
"2-methyl-furan ","191","sak","0"
"2-methyl-furan ","191","sak","0"
"2-methyl-furan ","191","pil","0"
"2-methyl-furan ","191","pil","0"
"2-methyl-furan ","191","pil","0"
"2-methyl-furan ","239","bel","0"
"2-methyl-furan ","239","bel","0"
"2-methyl-furan ","239","bel","0"
"2-methyl-furan ","239","cal","0"
"2-methyl-furan ","239","cal","0"
"2-methyl-furan ","239","cal","0"
"2-methyl-furan ","239","eng","0"
"2-methyl-furan ","239","eng","0"
"2-methyl-furan ","239","eng","0"
"2-methyl-furan ","239","sak","0"
"2-methyl-furan ","239","sak","0"
"2-methyl-furan ","239","sak","0"
"2-methyl-furan ","239","pil","0"
"2-methyl-furan ","239","pil","0"
"2-methyl-furan ","239","pil","0"
"2-methyl-furan ","363","bel","0"
"2-methyl-furan ","363","bel","0"
"2-methyl-furan ","363","cal","0"
"2-methyl-furan ","363","cal","0"
"2-methyl-furan ","363","cal","0"
"2-methyl-furan ","363","eng","0"
"2-methyl-furan ","363","eng","0"
"2-methyl-furan ","363","eng","0"
"2-methyl-furan ","363","sak","0"
"2-methyl-furan ","363","sak","0"
"2-methyl-furan ","363","sak","0"
"2-methyl-furan ","363","pil","0"
"2-methyl-furan ","363","pil","0"
"2-methyl-furan ","363","pil","0"
"2-methyl-furan ","700","bel","0"
"2-methyl-furan ","700","bel","0"
"2-methyl-furan ","700","cal","0"
"2-methyl-furan ","700","cal","0"
"2-methyl-furan ","700","cal","0"
"2-methyl-furan ","700","eng","0"
"2-methyl-furan ","700","eng","0"
"2-methyl-furan ","700","eng","0"
"2-methyl-furan ","700","sak","0"
"2-methyl-furan ","700","sak","0"
"2-methyl-furan ","700","sak","0"
"2-methyl-furan ","700","pil","0"
