Compound,hrs,yeast,rel_abundance
phenylalanine,0,bel,116.0232
phenylalanine,0,cal,116.0232
phenylalanine,0,eng,116.0232
phenylalanine,0,pil,116.0232
phenylalanine,0,sak,116.0232
phenylalanine,0,bel,109.7746
phenylalanine,0,cal,109.7746
phenylalanine,0,eng,109.7746
phenylalanine,0,pil,109.7746
phenylalanine,0,sak,109.7746
phenylalanine,0,bel,90.4749
phenylalanine,0,cal,90.4749
phenylalanine,0,eng,90.4749
phenylalanine,0,pil,90.4749
phenylalanine,0,sak,90.4749
phenylalanine,0.5,bel,82.2847
phenylalanine,0.5,cal,82.2847
phenylalanine,0.5,eng,82.2847
phenylalanine,0.5,pil,82.2847
phenylalanine,0.5,sak,82.2847
phenylalanine,0.5,bel,80.8055
phenylalanine,0.5,cal,80.8055
phenylalanine,0.5,eng,80.8055
phenylalanine,0.5,pil,80.8055
phenylalanine,0.5,sak,80.8055
phenylalanine,0.5,bel,79.6984
phenylalanine,0.5,cal,79.6984
phenylalanine,0.5,eng,79.6984
phenylalanine,0.5,pil,79.6984
phenylalanine,0.5,sak,79.6984
phenylalanine,0.75,bel,303.2455
phenylalanine,0.75,cal,303.2455
phenylalanine,0.75,eng,303.2455
phenylalanine,0.75,pil,303.2455
phenylalanine,0.75,sak,303.2455
phenylalanine,0.75,bel,254.7426
phenylalanine,0.75,cal,254.7426
phenylalanine,0.75,eng,254.7426
phenylalanine,0.75,pil,254.7426
phenylalanine,0.75,sak,254.7426
phenylalanine,0.75,bel,247.0165
phenylalanine,0.75,cal,247.0165
phenylalanine,0.75,eng,247.0165
phenylalanine,0.75,pil,247.0165
phenylalanine,0.75,sak,247.0165
phenylalanine,1,bel,107.226
phenylalanine,1,cal,107.226
phenylalanine,1,eng,107.226
phenylalanine,1,pil,107.226
phenylalanine,1,sak,107.226
phenylalanine,1,bel,98.7434
phenylalanine,1,cal,98.7434
phenylalanine,1,eng,98.7434
phenylalanine,1,pil,98.7434
phenylalanine,1,sak,98.7434
phenylalanine,1,bel,91.3304
phenylalanine,1,cal,91.3304
phenylalanine,1,eng,91.3304
phenylalanine,1,pil,91.3304
phenylalanine,1,sak,91.3304
phenylalanine,1.25,bel,113.5605
phenylalanine,1.25,cal,113.5605
phenylalanine,1.25,eng,113.5605
phenylalanine,1.25,pil,113.5605
phenylalanine,1.25,sak,113.5605
phenylalanine,1.25,bel,123.1582
phenylalanine,1.25,cal,123.1582
phenylalanine,1.25,eng,123.1582
phenylalanine,1.25,pil,123.1582
phenylalanine,1.25,sak,123.1582
phenylalanine,1.25,bel,115.0225
phenylalanine,1.25,cal,115.0225
phenylalanine,1.25,eng,115.0225
phenylalanine,1.25,pil,115.0225
phenylalanine,1.25,sak,115.0225
phenylalanine,1.87,bel,67.3807
phenylalanine,1.87,cal,67.3807
phenylalanine,1.87,eng,67.3807
phenylalanine,1.87,pil,67.3807
phenylalanine,1.87,sak,67.3807
phenylalanine,1.87,bel,65.971
phenylalanine,1.87,cal,65.971
phenylalanine,1.87,eng,65.971
phenylalanine,1.87,pil,65.971
phenylalanine,1.87,sak,65.971
phenylalanine,1.87,bel,65.7411
phenylalanine,1.87,cal,65.7411
phenylalanine,1.87,eng,65.7411
phenylalanine,1.87,pil,65.7411
phenylalanine,1.87,sak,65.7411
phenylalanine,2.58,bel,71.2419
phenylalanine,2.58,cal,71.2419
phenylalanine,2.58,eng,71.2419
phenylalanine,2.58,pil,71.2419
phenylalanine,2.58,sak,71.2419
phenylalanine,2.58,bel,69.4382
phenylalanine,2.58,cal,69.4382
phenylalanine,2.58,eng,69.4382
phenylalanine,2.58,pil,69.4382
phenylalanine,2.58,sak,69.4382
phenylalanine,2.58,bel,67.4239
phenylalanine,2.58,cal,67.4239
phenylalanine,2.58,eng,67.4239
phenylalanine,2.58,pil,67.4239
phenylalanine,2.58,sak,67.4239
phenylalanine,2.67,bel,72.1412
phenylalanine,2.67,cal,72.1412
phenylalanine,2.67,eng,72.1412
phenylalanine,2.67,pil,72.1412
phenylalanine,2.67,sak,72.1412
phenylalanine,2.67,bel,70.6444
phenylalanine,2.67,cal,70.6444
phenylalanine,2.67,eng,70.6444
phenylalanine,2.67,pil,70.6444
phenylalanine,2.67,sak,70.6444
phenylalanine,2.67,bel,72.2028
phenylalanine,2.67,cal,72.2028
phenylalanine,2.67,eng,72.2028
phenylalanine,2.67,pil,72.2028
phenylalanine,2.67,sak,72.2028
phenylalanine,3.42,bel,114.0321
phenylalanine,3.42,cal,114.0321
phenylalanine,3.42,eng,114.0321
phenylalanine,3.42,pil,114.0321
phenylalanine,3.42,sak,114.0321
phenylalanine,3.42,bel,106.1533
phenylalanine,3.42,cal,106.1533
phenylalanine,3.42,eng,106.1533
phenylalanine,3.42,pil,106.1533
phenylalanine,3.42,sak,106.1533
phenylalanine,3.42,bel,105.16
phenylalanine,3.42,cal,105.16
phenylalanine,3.42,eng,105.16
phenylalanine,3.42,pil,105.16
phenylalanine,3.42,sak,105.16
phenylalanine,3.5,bel,126.5566
phenylalanine,3.5,cal,126.5566
phenylalanine,3.5,eng,126.5566
phenylalanine,3.5,pil,126.5566
phenylalanine,3.5,sak,126.5566
phenylalanine,3.5,bel,0
phenylalanine,3.5,cal,0
phenylalanine,3.5,eng,0
phenylalanine,3.5,pil,0
phenylalanine,3.5,sak,0
phenylalanine,3.5,bel,110.3343
phenylalanine,3.5,cal,110.3343
phenylalanine,3.5,eng,110.3343
phenylalanine,3.5,pil,110.3343
phenylalanine,3.5,sak,110.3343
phenylalanine,4.93,bel,108.3799
phenylalanine,4.93,cal,108.3799
phenylalanine,4.93,eng,108.3799
phenylalanine,4.93,pil,108.3799
phenylalanine,4.93,sak,108.3799
phenylalanine,4.93,bel,109.0386
phenylalanine,4.93,cal,109.0386
phenylalanine,4.93,eng,109.0386
phenylalanine,4.93,pil,109.0386
phenylalanine,4.93,sak,109.0386
phenylalanine,4.93,bel,108.5128
phenylalanine,4.93,cal,108.5128
phenylalanine,4.93,eng,108.5128
phenylalanine,4.93,pil,108.5128
phenylalanine,4.93,sak,108.5128
phenylalanine,27,bel,91.5463
phenylalanine,27,cal,131.3548
phenylalanine,27,eng,0
phenylalanine,27,pil,96.6979
phenylalanine,27,sak,99.058
phenylalanine,27,bel,89.2683
phenylalanine,27,cal,0
phenylalanine,27,eng,174.6392
phenylalanine,27,pil,97.6909
phenylalanine,27,sak,92.1383
phenylalanine,27,bel,86.7298
phenylalanine,27,cal,113.6188
phenylalanine,27,eng,148.5163
phenylalanine,27,pil,95.6752
phenylalanine,27,sak,85.3492
phenylalanine,35,bel,81.2757
phenylalanine,35,cal,49.7338
phenylalanine,35,eng,0
phenylalanine,35,pil,83.8901
phenylalanine,35,sak,123.0028
phenylalanine,35,bel,76.8665
phenylalanine,35,cal,45.7868
phenylalanine,35,eng,73.439
phenylalanine,35,pil,89.3006
phenylalanine,35,sak,116.7328
phenylalanine,35,bel,75.9973
phenylalanine,35,cal,39.915
phenylalanine,35,eng,72.6635
phenylalanine,35,pil,88.1
phenylalanine,35,sak,115.1813
phenylalanine,46,bel,181.0389
phenylalanine,46,cal,198.303
phenylalanine,46,eng,95.9233
