Compound,log2_hrs,bel,cal,eng,pil,sak,,,,,,,,,,,,,,,,,,,,,
phenylalanine,0,116.0232,116.0232,116.0232,116.0232,116.0232,,,,,,,,,,,,,,,,,,AVG,STDEV,%RSD,Sample #
phenylalanine,0,109.7746,109.7746,109.7746,109.7746,109.7746,,,,,,,,,,,,,,,,,,105.4242,13.3182,12.6329,1
phenylalanine,0,90.4749,90.4749,90.4749,90.4749,90.4749,,,,,,,,,,,,,,,,,,80.9295,1.2976,1.6034,2
phenylalanine,0.5,82.2847,82.2847,82.2847,82.2847,82.2847,,,,,,,,,,,,,,,,,,268.3349,30.4793,11.3587,3
phenylalanine,0.5,80.8055,80.8055,80.8055,80.8055,80.8055,,,,,,,,,,,,,,,,,,99.0999,7.9538,8.026,4
phenylalanine,0.5,79.6984,79.6984,79.6984,79.6984,79.6984,,,,,,,,,,,,,,,,,,117.2471,5.1711,4.4104,5
phenylalanine,0.75,303.2455,303.2455,303.2455,303.2455,303.2455,,,,,,,,,,,,,,,,,,66.3643,0.8877,1.3377,6
phenylalanine,0.75,254.7426,254.7426,254.7426,254.7426,254.7426,,,,,,,,,,,,,,,,,,69.368,1.91,2.7534,7
phenylalanine,0.75,247.0165,247.0165,247.0165,247.0165,247.0165,,,,,,,,,,,,,,,,,,71.6628,0.8825,1.2315,8
phenylalanine,1,107.226,107.226,107.226,107.226,107.226,,,,,,,,,,,,,,,,,,108.4485,4.861,4.4823,10
phenylalanine,1,98.7434,98.7434,98.7434,98.7434,98.7434,,,,,,,,,,,,,,,,,,118.4455,11.4709,9.6845,11
phenylalanine,1,91.3304,91.3304,91.3304,91.3304,91.3304,,,,,,,,,,,,,,,,,,108.6438,0.3483,0.3206,12
phenylalanine,1.25,113.5605,113.5605,113.5605,113.5605,113.5605,,,,,,,,,,,,,,,,,,92.1818,6.8545,7.4359,13
phenylalanine,1.25,123.1582,123.1582,123.1582,123.1582,123.1582,,,,,,,,,,,,,,,,,,118.3056,4.1412,3.5004,14
phenylalanine,1.25,115.0225,115.0225,115.0225,115.0225,115.0225,,,,,,,,,,,,,,,,,,69.8094,1.0562,1.5129,15
phenylalanine,1.87,67.3807,67.3807,67.3807,67.3807,67.3807,,,,,,,,,,,,,,,,,,54.1713,1.4863,2.7437,16
phenylalanine,1.87,65.971,65.971,65.971,65.971,65.971,,,,,,,,,,,,,,,,,,229.547,78.5201,34.2065,17
phenylalanine,1.87,65.7411,65.7411,65.7411,65.7411,65.7411,,,,,,,,,,,,,,,,,,38.111,2.4091,6.3211,18
phenylalanine,2.58,71.2419,71.2419,71.2419,71.2419,71.2419,,,,,,,,,,,,,,,,,,55.2716,6.1244,11.0805,19
phenylalanine,2.58,69.4382,69.4382,69.4382,69.4382,69.4382,,,,,,,,,,,,,,,,,,57.1393,3.7313,6.5302,20
